Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43
Bushdid,269,1146,4133,177,176,12180,5634,24915,3314,11002,12232,7632.0,6054.0,180.0,6184.0,62444.0,7583.0,1031.0,93009.0,7966.0,443158.0,16666.0,8130.0,7921.0,61138.0,7463.0,7363.0,460.0,5281168.0,240.0,8030.0,,,,,,,,,,,,,
Bushdid,502,1146,4133,177,176,12180,5634,24915,3314,11002,12232,2969.0,14286.0,7519.0,10882.0,7654.0,7762.0,5283349.0,440967.0,2879.0,31265.0,10560.0,8051.0,10890.0,6736.0,6989.0,11552.0,8118.0,7344.0,62465.0,8858.0,,,,,,,,,,,,,
Bushdid,64,11552,12020,10560,5283349,31272,7165,460,179,16666,7731,3314.0,177.0,7059.0,5281168.0,6544.0,62433.0,7632.0,6561.0,7921.0,7793.0,5373603.0,2969.0,11002.0,1031.0,11509.0,326.0,5634.0,12348.0,176.0,62444.0,,,,,,,,,,,,,
Bushdid,329,11552,12020,10560,5283349,31272,7165,460,179,16666,7731,8030.0,1146.0,7410.0,91497.0,6736.0,12741.0,454.0,12180.0,7749.0,440917.0,24915.0,8148.0,15380.0,7654.0,7848.0,6054.0,6654.0,22201.0,3776.0,26331.0,,,,,,,,,,,,,
Bushdid,503,26331,440917,15380,10976,62444,10890,5283349,11509,19310,5281168,12180.0,24915.0,62465.0,10882.0,999.0,7059.0,5281515.0,7921.0,8103.0,6054.0,176.0,177.0,22201.0,460.0,8892.0,440967.0,6590.0,2758.0,10560.0,6989.0,,,,,,,,,,,,,
Bushdid,379,26331,440917,15380,10976,62444,10890,5283349,11509,19310,5281168,637511.0,2879.0,61138.0,264.0,7731.0,12367.0,12232.0,10821.0,1127.0,7710.0,7632.0,22386.0,7799.0,93009.0,8048.0,11552.0,8858.0,8148.0,7654.0,12178.0,,,,,,,,,,,,,
Bushdid,168,93009,10722,5283349,5373603,8103,5634,2758,1140,4133,62444,10560.0,19310.0,8148.0,261.0,8892.0,1146.0,12020.0,91497.0,2969.0,8118.0,8797.0,5281168.0,7460.0,7463.0,7762.0,31272.0,443162.0,6501.0,12178.0,6184.0,,,,,,,,,,,,,
Bushdid,149,93009,10722,5283349,5373603,8103,5634,2758,1140,4133,62444,8091.0,999.0,440967.0,16666.0,7363.0,7921.0,7583.0,7799.0,6736.0,11124.0,1060.0,8635.0,7731.0,8030.0,14286.0,179.0,11509.0,176.0,12741.0,12180.0,,,,,,,,,,,,,
Bushdid,390,14286,6654,443158,7460,6982,3776,31276,10821,5281168,12180,93009.0,7150.0,8858.0,7363.0,798.0,261.0,1068.0,7519.0,637566.0,31272.0,12367.0,62444.0,7344.0,11509.0,62336.0,2758.0,7991.0,8186.0,1031.0,12232.0,,,,,,,,,,,,,
Bushdid,440,14286,6654,443158,7460,6982,3776,31276,10821,5281168,12180,440967.0,7848.0,11124.0,10560.0,31265.0,11552.0,176.0,179.0,1060.0,8635.0,177.0,8103.0,19310.0,7799.0,637511.0,4133.0,8892.0,6501.0,7710.0,61138.0,,,,,,,,,,,,,
Bushdid,478,440917,176,1031,8918,7150,22873,454,8130,180,7654,7848.0,7410.0,612.0,62465.0,5283349.0,8858.0,7519.0,8103.0,5634.0,6544.0,3776.0,6184.0,7921.0,1140.0,8051.0,2758.0,31244.0,7793.0,7799.0,7731.0,,,,,,,,,,,,,
Bushdid,72,440917,176,1031,8918,7150,22873,454,8130,180,7654,7888.0,1146.0,637566.0,443158.0,999.0,10821.0,31265.0,11552.0,7632.0,8030.0,8091.0,2879.0,7762.0,62433.0,7714.0,26331.0,6989.0,8892.0,10882.0,10722.0,,,,,,,,,,,,,
Bushdid,462,7059,7848,8918,2969,31276,62465,454,11509,6989,24915,7685.0,8051.0,31265.0,7799.0,16666.0,2758.0,1127.0,6590.0,26331.0,31272.0,7888.0,7714.0,7410.0,10722.0,8148.0,7762.0,7921.0,31244.0,8186.0,1146.0,,,,,,,,,,,,,
Bushdid,466,7059,7848,8918,2969,31276,62465,454,11509,6989,24915,264.0,7731.0,12020.0,5634.0,12367.0,7463.0,10430.0,12348.0,7600.0,798.0,7991.0,176.0,637566.0,2879.0,6184.0,612.0,180.0,261.0,8118.0,8858.0,,,,,,,,,,,,,
Bushdid,185,12367,443162,7460,11509,10821,8048,1031,10882,264,7966,8025.0,8858.0,61016.0,5373603.0,10560.0,7363.0,3776.0,7710.0,7463.0,93009.0,7731.0,15380.0,4133.0,5281515.0,7583.0,2969.0,8148.0,22873.0,8103.0,7344.0,,,,,,,,,,,,,
Bushdid,277,12367,443162,7460,11509,10821,8048,1031,10882,264,7966,3314.0,7150.0,11002.0,12741.0,440917.0,261.0,2758.0,7762.0,10430.0,5281168.0,16666.0,12232.0,1140.0,326.0,999.0,12178.0,6989.0,7991.0,8130.0,31272.0,,,,,,,,,,,,,
Bushdid,480,1127,8048,11552,10722,62433,1140,7888,12020,5634,12367,6982.0,93009.0,11509.0,12232.0,15380.0,443162.0,22386.0,7059.0,8103.0,798.0,177.0,2969.0,11002.0,7410.0,7363.0,7749.0,7714.0,460.0,6561.0,999.0,,,,,,,,,,,,,
Bushdid,28,1127,8048,11552,10722,62433,1140,7888,12020,5634,12367,8091.0,8030.0,31244.0,31272.0,31249.0,7344.0,7632.0,10821.0,5283349.0,8918.0,454.0,440917.0,7799.0,10882.0,3776.0,180.0,1031.0,264.0,240.0,7710.0,,,,,,,,,,,,,
Bushdid,353,31272,6736,7714,7165,440967,31276,4133,11552,12348,31244,7344.0,6501.0,16666.0,18827.0,5634.0,61016.0,8892.0,7966.0,10722.0,62444.0,6561.0,24915.0,1127.0,8051.0,180.0,26331.0,7632.0,14286.0,12741.0,6989.0,,,,,,,,,,,,,
Bushdid,93,31272,6736,7714,7165,440967,31276,4133,11552,12348,31244,5373603.0,1068.0,7463.0,31249.0,1031.0,7150.0,7793.0,6590.0,264.0,62433.0,798.0,8130.0,7583.0,261.0,240.0,6544.0,7654.0,12232.0,61138.0,22386.0,,,,,,,,,,,,,
Bushdid,3,22873,176,31276,7600,10882,11002,11552,612,798,31272,10430.0,7685.0,261.0,10890.0,91497.0,22201.0,12348.0,7991.0,7731.0,2758.0,8186.0,1127.0,5283349.0,26331.0,7165.0,177.0,10976.0,8635.0,6654.0,6184.0,,,,,,,,,,,,,
Bushdid,318,22873,176,31276,7600,10882,11002,11552,612,798,31272,6590.0,10821.0,61138.0,454.0,5373603.0,1031.0,7762.0,8103.0,10560.0,8130.0,8148.0,22386.0,11124.0,443158.0,8051.0,1146.0,7710.0,6989.0,93009.0,6054.0,,,,,,,,,,,,,
Bushdid,343,4133,5634,31272,15380,8892,7848,5283349,31249,62465,8797,8030.0,7888.0,999.0,8130.0,91497.0,454.0,7714.0,1068.0,12741.0,440917.0,8186.0,10882.0,7600.0,7583.0,7410.0,10890.0,6054.0,10560.0,8858.0,179.0,,,,,,,,,,,,,
Bushdid,518,4133,5634,31272,15380,8892,7848,5283349,31249,62465,8797,7793.0,8048.0,440967.0,10821.0,8025.0,612.0,6544.0,62336.0,7344.0,12020.0,2969.0,7799.0,14286.0,2758.0,6501.0,22873.0,460.0,12180.0,1031.0,6590.0,,,,,,,,,,,,,
Bushdid,22,2969,264,8048,6054,4133,8635,10560,12348,1127,10882,7793.0,2879.0,62465.0,1031.0,31244.0,6501.0,7165.0,8858.0,12741.0,22873.0,7966.0,22386.0,6544.0,11124.0,62433.0,7059.0,10976.0,180.0,14286.0,6184.0,,,,,,,,,,,,,
Bushdid,275,2969,264,8048,6054,4133,8635,10560,12348,1127,10882,5373603.0,8025.0,24915.0,62336.0,8918.0,61138.0,5283349.0,11002.0,7921.0,176.0,6989.0,91497.0,7632.0,5634.0,93009.0,440967.0,7519.0,6736.0,7888.0,31249.0,,,,,,,,,,,,,
Bushdid,501,4133,7059,6501,1031,12180,11124,93009,180,14286,6544,62465.0,637511.0,8051.0,7888.0,8892.0,2879.0,12232.0,31249.0,8103.0,31272.0,7363.0,10890.0,7991.0,6982.0,240.0,8048.0,22873.0,16666.0,443158.0,7762.0,,,,,,,,,,,,,
Bushdid,511,4133,7059,6501,1031,12180,11124,93009,180,14286,6544,62465.0,637511.0,8051.0,7888.0,8892.0,2879.0,12232.0,31249.0,8103.0,31272.0,5283349.0,1146.0,2969.0,7714.0,6989.0,798.0,31244.0,454.0,8635.0,8091.0,,,,,,,,,,,,,
Bushdid,126,637566,6544,7793,3314,31244,8103,12020,11552,8858,1127,91497.0,8048.0,612.0,2969.0,240.0,8025.0,7583.0,31265.0,1060.0,12367.0,176.0,12348.0,12178.0,177.0,7410.0,8091.0,31272.0,180.0,798.0,10821.0,,,,,,,,,,,,,
Bushdid,38,637566,6544,7793,3314,31244,8103,12020,11552,8858,1127,91497.0,8048.0,612.0,2969.0,240.0,8025.0,7583.0,31265.0,1060.0,12367.0,637511.0,8130.0,6989.0,3776.0,7150.0,7710.0,6654.0,1068.0,5281515.0,2879.0,,,,,,,,,,,,,
Bushdid,184,7463,31244,12348,62465,91497,31276,7059,8148,6982,26331,7991.0,8635.0,7583.0,8025.0,11002.0,19310.0,7344.0,2879.0,8091.0,443162.0,1068.0,12020.0,7685.0,7966.0,62433.0,7799.0,7363.0,7519.0,22201.0,7600.0,,,,,,,,,,,,,
Bushdid,254,7463,31244,12348,62465,91497,31276,7059,8148,6982,26331,7991.0,8635.0,7583.0,8025.0,11002.0,19310.0,7344.0,2879.0,8091.0,443162.0,454.0,4133.0,15380.0,8797.0,1060.0,637511.0,6654.0,6590.0,10430.0,177.0,,,,,,,,,,,,,
Bushdid,356,8186,326,26331,22201,22873,6184,12178,7710,177,8797,62433.0,61016.0,7793.0,7059.0,1060.0,10882.0,10560.0,7848.0,31244.0,637511.0,7410.0,7632.0,179.0,6561.0,6590.0,11124.0,11002.0,15380.0,31249.0,31272.0,,,,,,,,,,,,,
Bushdid,364,8186,326,26331,22201,22873,6184,12178,7710,177,8797,62433.0,61016.0,7793.0,7059.0,1060.0,10882.0,10560.0,7848.0,31244.0,637511.0,240.0,798.0,7749.0,3314.0,7731.0,31265.0,2969.0,10890.0,6736.0,7583.0,,,,,,,,,,,,,
Bushdid,423,8130,7966,7731,8103,3776,62336,8025,10976,12232,612,31265.0,12020.0,326.0,7600.0,443162.0,454.0,7685.0,22873.0,11124.0,7460.0,176.0,26331.0,12178.0,7749.0,7991.0,22201.0,31276.0,7150.0,8918.0,6654.0,,,,,,,,,,,,,
Bushdid,181,8130,7966,7731,8103,3776,62336,8025,10976,12232,612,31265.0,12020.0,326.0,7600.0,443162.0,454.0,7685.0,22873.0,11124.0,7460.0,179.0,5283349.0,5373603.0,6590.0,8030.0,6054.0,1031.0,637511.0,7848.0,7583.0,,,,,,,,,,,,,
Bushdid,15,7363,6544,7714,16666,7410,7685,5281168,240,8797,7600,6184.0,8186.0,14286.0,62465.0,91497.0,8858.0,3314.0,10722.0,4133.0,6054.0,637511.0,8030.0,10890.0,440917.0,8091.0,11002.0,8025.0,326.0,10430.0,31276.0,,,,,,,,,,,,,
Bushdid,87,7363,6544,7714,16666,7410,7685,5281168,240,8797,7600,6184.0,8186.0,14286.0,62465.0,91497.0,8858.0,3314.0,10722.0,4133.0,6054.0,7888.0,10882.0,5634.0,637566.0,31249.0,3776.0,8635.0,7460.0,31244.0,7583.0,,,,,,,,,,,,,
Bushdid,327,7410,6544,6590,7519,7150,8091,31244,3776,10821,8148,7793.0,1140.0,8918.0,10430.0,440967.0,8051.0,176.0,31265.0,1068.0,264.0,62433.0,14286.0,2969.0,15380.0,7966.0,6982.0,10890.0,179.0,261.0,61016.0,,,,,,,,,,,,,
Bushdid,374,7410,6544,6590,7519,7150,8091,31244,3776,10821,8148,7793.0,1140.0,8918.0,10430.0,440967.0,8051.0,176.0,31265.0,1068.0,264.0,460.0,16666.0,10560.0,7463.0,7654.0,12232.0,180.0,22201.0,62444.0,7059.0,,,,,,,,,,,,,
Bushdid,508,6982,1031,62444,440967,4133,612,5281515,7165,2879,7731,5373603.0,1060.0,19310.0,8858.0,5283349.0,16666.0,12367.0,8118.0,8918.0,6654.0,8130.0,10430.0,8051.0,26331.0,62336.0,10890.0,11124.0,454.0,8103.0,177.0,,,,,,,,,,,,,
Bushdid,512,6982,1031,62444,440967,4133,612,5281515,7165,2879,7731,5373603.0,1060.0,19310.0,8858.0,5283349.0,16666.0,12367.0,8118.0,8918.0,6654.0,7749.0,999.0,31244.0,8635.0,7632.0,7966.0,7714.0,12020.0,10882.0,10821.0,,,,,,,,,,,,,
Bushdid,470,7463,62444,8148,12348,24915,7749,10430,7799,31265,10890,7344.0,261.0,612.0,7793.0,7991.0,7600.0,7583.0,22873.0,61016.0,8051.0,2879.0,6989.0,2969.0,31276.0,11002.0,176.0,8130.0,7363.0,12741.0,7888.0,,,,,,,,,,,,,
Bushdid,411,7463,62444,8148,12348,24915,7749,10430,7799,31265,10890,7344.0,261.0,612.0,7793.0,7991.0,7600.0,7583.0,22873.0,61016.0,8051.0,12232.0,62433.0,22386.0,18827.0,798.0,16666.0,10976.0,637511.0,5373603.0,8858.0,,,,,,,,,,,,,
Bushdid,351,8051,61138,11552,176,440917,7654,177,62336,1146,7685,7749.0,11002.0,326.0,637566.0,7731.0,7793.0,6184.0,12180.0,8091.0,3776.0,612.0,31244.0,31249.0,31276.0,179.0,7165.0,6054.0,6989.0,61016.0,1140.0,,,,,,,,,,,,,
Bushdid,59,8051,61138,11552,176,440917,7654,177,62336,1146,7685,7749.0,11002.0,326.0,637566.0,7731.0,7793.0,6184.0,12180.0,8091.0,3776.0,6561.0,8030.0,8048.0,1060.0,1031.0,12741.0,2879.0,7966.0,12367.0,7583.0,,,,,,,,,,,,,
Bushdid,43,443162,10976,8918,10560,1140,31249,326,12180,3776,7583,7685.0,7363.0,264.0,31276.0,7150.0,24915.0,7749.0,612.0,7165.0,7059.0,5373603.0,440917.0,6982.0,62433.0,6654.0,18827.0,8048.0,1068.0,61016.0,8797.0,,,,,,,,,,,,,
Bushdid,288,443162,10976,8918,10560,1140,31249,326,12180,3776,7583,7685.0,7363.0,264.0,31276.0,7150.0,24915.0,7749.0,612.0,7165.0,7059.0,7991.0,12178.0,2879.0,999.0,22386.0,11509.0,12232.0,1127.0,11124.0,12367.0,,,,,,,,,,,,,
Bushdid,413,261,180,24915,15380,612,454,440967,8103,8048,62444,7921.0,1146.0,12367.0,264.0,18827.0,62433.0,12232.0,22386.0,5634.0,7519.0,7888.0,460.0,12020.0,12348.0,179.0,7731.0,8130.0,93009.0,10560.0,62465.0,,,,,,,,,,,,,
Bushdid,75,261,180,24915,15380,612,454,440967,8103,8048,62444,7921.0,1146.0,12367.0,264.0,18827.0,62433.0,12232.0,22386.0,5634.0,7519.0,7685.0,61138.0,7749.0,6736.0,5283349.0,7460.0,22201.0,2758.0,6654.0,637511.0,,,,,,,,,,,,,
Bushdid,463,10890,7654,62336,10430,7921,6501,10722,26331,4133,7519,6054.0,22873.0,12367.0,8148.0,5281515.0,8051.0,1060.0,8635.0,440967.0,7731.0,2758.0,176.0,61016.0,8186.0,31265.0,11552.0,7762.0,6654.0,8797.0,7059.0,,,,,,,,,,,,,
Bushdid,107,10890,7654,62336,10430,7921,6501,10722,26331,4133,7519,6054.0,22873.0,12367.0,8148.0,5281515.0,8051.0,1060.0,8635.0,440967.0,7731.0,16666.0,93009.0,6561.0,8892.0,7165.0,31244.0,12741.0,8025.0,1068.0,31276.0,,,,,,,,,,,,,
Bushdid,132,31272,7731,8025,1031,6501,8918,454,7921,1140,6736,240.0,177.0,7583.0,798.0,18827.0,62433.0,7799.0,8635.0,7363.0,5634.0,7410.0,12178.0,8130.0,7848.0,11124.0,8797.0,24915.0,8118.0,10821.0,31276.0,,,,,,,,,,,,,
Bushdid,342,31272,7731,8025,1031,6501,8918,454,7921,1140,6736,240.0,177.0,7583.0,798.0,18827.0,62433.0,7799.0,8635.0,7363.0,5634.0,16666.0,5281515.0,7991.0,62336.0,8048.0,612.0,10976.0,91497.0,8030.0,11002.0,,,,,,,,,,,,,
Bushdid,454,637511,12180,31249,12020,10430,22386,62465,180,460,7654,22201.0,7888.0,11124.0,5281515.0,10882.0,7632.0,612.0,7731.0,7714.0,7519.0,240.0,16666.0,177.0,12178.0,7059.0,7460.0,443158.0,7793.0,7463.0,8118.0,,,,,,,,,,,,,
Bushdid,325,637511,12180,31249,12020,10430,22386,62465,180,460,7654,22201.0,7888.0,11124.0,5281515.0,10882.0,7632.0,612.0,7731.0,7714.0,7519.0,7583.0,6590.0,261.0,6654.0,7600.0,14286.0,18827.0,2969.0,7410.0,7749.0,,,,,,,,,,,,,
Bushdid,221,1140,10882,5634,1060,31272,443158,6501,8148,7344,12367,7888.0,5281515.0,7059.0,7463.0,8025.0,10722.0,12741.0,8858.0,5373603.0,14286.0,1068.0,5281168.0,6590.0,7519.0,6184.0,8051.0,5283349.0,637511.0,62465.0,8130.0,,,,,,,,,,,,,
Bushdid,426,1140,10882,5634,1060,31272,443158,6501,8148,7344,12367,7888.0,5281515.0,7059.0,7463.0,8025.0,10722.0,12741.0,8858.0,5373603.0,14286.0,11002.0,8797.0,12232.0,7583.0,91497.0,454.0,18827.0,264.0,8048.0,7410.0,,,,,,,,,,,,,
Bushdid,173,1146,7762,443158,31249,7519,62336,5283349,8797,1031,6544,11124.0,11552.0,22201.0,460.0,440917.0,180.0,12178.0,7150.0,8025.0,8148.0,443162.0,62433.0,10821.0,12020.0,3776.0,6054.0,240.0,7991.0,15380.0,8091.0,,,,,,,,,,,,,
Bushdid,63,1146,7762,443158,31249,7519,62336,5283349,8797,1031,6544,11124.0,11552.0,22201.0,460.0,440917.0,180.0,12178.0,7150.0,8025.0,8148.0,2879.0,18827.0,6590.0,22873.0,612.0,14286.0,8918.0,19310.0,179.0,637511.0,,,,,,,,,,,,,
Bushdid,453,7150,7632,7685,5634,8103,7519,8797,1127,7600,7888,176.0,10821.0,31276.0,7460.0,8048.0,180.0,12178.0,999.0,177.0,62465.0,7463.0,12348.0,8130.0,7799.0,8091.0,8030.0,61138.0,10722.0,440917.0,8118.0,,,,,,,,,,,,,
Bushdid,467,7150,7632,7685,5634,8103,7519,8797,1127,7600,7888,176.0,10821.0,31276.0,7460.0,8048.0,180.0,12178.0,999.0,177.0,62465.0,22873.0,31265.0,7848.0,10882.0,11002.0,62336.0,443158.0,12180.0,12020.0,11124.0,,,,,,,,,,,,,
Bushdid,41,62465,7966,7714,2879,61138,10722,6561,7921,261,612,93009.0,6989.0,12367.0,62444.0,12348.0,7888.0,7632.0,8048.0,62433.0,11002.0,61016.0,22386.0,8130.0,7731.0,7460.0,6590.0,8858.0,6736.0,6544.0,8025.0,,,,,,,,,,,,,
Bushdid,17,62465,7966,7714,2879,61138,10722,6561,7921,261,612,93009.0,6989.0,12367.0,62444.0,12348.0,7888.0,7632.0,8048.0,62433.0,11002.0,91497.0,1031.0,24915.0,637566.0,3776.0,7583.0,31265.0,6184.0,11509.0,12020.0,,,,,,,,,,,,,
Bushdid,51,176,7059,7654,4133,31272,2969,7344,6054,6736,8186,19310.0,7150.0,3314.0,240.0,1146.0,7632.0,7165.0,7714.0,18827.0,8118.0,6590.0,177.0,999.0,7410.0,8051.0,7793.0,261.0,12367.0,15380.0,24915.0,,,,,,,,,,,,,
Bushdid,433,176,7059,7654,4133,31272,2969,7344,6054,6736,8186,19310.0,7150.0,3314.0,240.0,1146.0,7632.0,7165.0,7714.0,18827.0,8118.0,61016.0,31265.0,7600.0,7363.0,10890.0,8148.0,5281168.0,1060.0,6561.0,8918.0,,,,,,,,,,,,,
Bushdid,111,7749,6654,176,31276,1140,5373603,180,22873,7685,4133,7888.0,1068.0,7600.0,12741.0,10821.0,31244.0,31265.0,1060.0,179.0,7793.0,7632.0,460.0,6501.0,8858.0,18827.0,12178.0,440967.0,31249.0,62336.0,7848.0,,,,,,,,,,,,,
Bushdid,274,7749,6654,176,31276,1140,5373603,180,22873,7685,4133,7888.0,1068.0,7600.0,12741.0,10821.0,31244.0,31265.0,1060.0,179.0,7793.0,7632.0,460.0,6501.0,8858.0,18827.0,12178.0,440967.0,31249.0,62336.0,8118.0,,,,,,,,,,,,,
Bushdid,469,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130.0,8118.0,8635.0,10430.0,7991.0,12741.0,5373603.0,7165.0,176.0,240.0,798.0,6654.0,7410.0,11124.0,93009.0,8048.0,11509.0,22386.0,999.0,62336.0,,,,,,,,,,,,,
Bushdid,472,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130.0,8118.0,8635.0,10430.0,7991.0,12741.0,5373603.0,7165.0,176.0,240.0,798.0,6654.0,7410.0,11124.0,93009.0,8048.0,11509.0,22386.0,999.0,637511.0,,,,,,,,,,,,,
Bushdid,116,7600,8858,440917,7921,177,7363,7991,443158,1127,12180,16666.0,7888.0,443162.0,7793.0,91497.0,637511.0,5283349.0,7165.0,12020.0,8025.0,7714.0,8048.0,3314.0,15380.0,6736.0,1068.0,6544.0,8797.0,8186.0,93009.0,,,,,,,,,,,,,
Bushdid,88,7600,8858,440917,7921,177,7363,7991,443158,1127,12180,16666.0,7888.0,443162.0,7793.0,91497.0,637511.0,5283349.0,7165.0,12020.0,8025.0,7714.0,8048.0,3314.0,15380.0,6736.0,1068.0,6544.0,8797.0,8186.0,999.0,,,,,,,,,,,,,
Bushdid,387,1127,7749,22201,637511,62433,179,7059,8635,8148,2758,440967.0,31244.0,7519.0,7714.0,7991.0,22873.0,6544.0,7685.0,8048.0,18827.0,11509.0,7848.0,5373603.0,1068.0,7363.0,5281168.0,460.0,10560.0,440917.0,261.0,,,,,,,,,,,,,
Bushdid,176,1127,7749,22201,637511,62433,179,7059,8635,8148,2758,440967.0,31244.0,7519.0,7714.0,7991.0,22873.0,6544.0,7685.0,8048.0,18827.0,11509.0,7848.0,5373603.0,1068.0,7363.0,5281168.0,460.0,10560.0,440917.0,93009.0,,,,,,,,,,,,,
Bushdid,307,1031,6989,8051,8103,62465,6501,7799,7749,91497,8797,7888.0,5634.0,10821.0,7991.0,7632.0,7654.0,7059.0,16666.0,15380.0,5373603.0,637511.0,7165.0,22201.0,6054.0,7793.0,180.0,22386.0,7762.0,31265.0,798.0,,,,,,,,,,,,,
Bushdid,61,1031,6989,8051,8103,62465,6501,7799,7749,91497,8797,7888.0,5634.0,10821.0,7991.0,7632.0,7654.0,7059.0,16666.0,15380.0,5373603.0,637511.0,7165.0,22201.0,6054.0,7793.0,180.0,22386.0,7762.0,31265.0,8148.0,,,,,,,,,,,,,
Bushdid,60,177,179,1068,7363,7799,7600,12020,6544,11509,8091,7966.0,1127.0,8048.0,8103.0,3314.0,443158.0,14286.0,7749.0,7888.0,12741.0,10890.0,91497.0,2879.0,12178.0,7991.0,22201.0,7793.0,2969.0,240.0,8635.0,,,,,,,,,,,,,
Bushdid,46,177,179,1068,7363,7799,7600,12020,6544,11509,8091,7966.0,1127.0,8048.0,8103.0,3314.0,443158.0,14286.0,7749.0,7888.0,12741.0,10890.0,91497.0,2879.0,12178.0,7991.0,22201.0,7793.0,2969.0,240.0,6184.0,,,,,,,,,,,,,
Bushdid,517,91497,7463,11509,7710,6982,10722,12348,2879,1031,460,11552.0,7632.0,798.0,7519.0,176.0,326.0,15380.0,7888.0,4133.0,3314.0,7848.0,6544.0,12178.0,8030.0,31249.0,7749.0,1127.0,6736.0,61138.0,8103.0,,,,,,,,,,,,,
Bushdid,299,91497,7463,11509,7710,6982,10722,12348,2879,1031,460,11552.0,7632.0,798.0,7519.0,176.0,326.0,15380.0,7888.0,4133.0,3314.0,7848.0,6544.0,12178.0,8030.0,31249.0,7749.0,1127.0,6736.0,61138.0,261.0,,,,,,,,,,,,,
Bushdid,360,31276,62465,326,8103,22386,31249,8091,7165,6590,7344,5634.0,7463.0,7685.0,11552.0,798.0,6736.0,7059.0,8030.0,440967.0,443162.0,12178.0,454.0,3776.0,6184.0,62444.0,62336.0,8797.0,7991.0,637511.0,7799.0,,,,,,,,,,,,,
Bushdid,40,31276,62465,326,8103,22386,31249,8091,7165,6590,7344,5634.0,7463.0,7685.0,11552.0,798.0,6736.0,7059.0,8030.0,440967.0,443162.0,12178.0,454.0,3776.0,6184.0,62444.0,62336.0,8797.0,7991.0,637511.0,8130.0,,,,,,,,,,,,,
Bushdid,139,6989,2969,1068,7848,1031,16666,15380,1140,7519,637511,12020.0,454.0,11124.0,8130.0,10976.0,8048.0,460.0,264.0,6184.0,31276.0,10430.0,26331.0,3314.0,24915.0,8051.0,8025.0,12232.0,6654.0,11552.0,326.0,,,,,,,,,,,,,
Bushdid,514,6989,2969,1068,7848,1031,16666,15380,1140,7519,637511,12020.0,454.0,11124.0,8130.0,10976.0,8048.0,460.0,264.0,6184.0,31276.0,10430.0,26331.0,3314.0,24915.0,8051.0,8025.0,12232.0,6654.0,11552.0,31265.0,,,,,,,,,,,,,
Bushdid,79,8858,2969,7921,7344,11552,454,240,5281515,6184,31249,31272.0,7888.0,179.0,10430.0,91497.0,7799.0,1031.0,1146.0,10722.0,7150.0,10821.0,8892.0,61016.0,6989.0,1127.0,7710.0,12020.0,31276.0,7731.0,7714.0,,,,,,,,,,,,,
Bushdid,422,8858,2969,7921,7344,11552,454,240,5281515,6184,31249,31272.0,7888.0,179.0,10430.0,91497.0,7799.0,1031.0,1146.0,10722.0,7150.0,10821.0,8892.0,61016.0,6989.0,1127.0,7710.0,12020.0,31276.0,7731.0,22386.0,,,,,,,,,,,,,
Bushdid,192,8635,7749,8048,7966,12020,31272,5283349,31244,2758,10821,240.0,31276.0,7762.0,24915.0,31265.0,8091.0,261.0,326.0,7888.0,179.0,10890.0,1146.0,8051.0,7460.0,1031.0,460.0,12178.0,6654.0,8186.0,7519.0,,,,,,,,,,,,,
Bushdid,370,8635,7749,8048,7966,12020,31272,5283349,31244,2758,10821,240.0,31276.0,7762.0,24915.0,31265.0,8091.0,261.0,326.0,7888.0,179.0,10890.0,1146.0,8051.0,7460.0,1031.0,460.0,12178.0,6654.0,8186.0,7583.0,,,,,,,,,,,,,
Bushdid,418,22386,12367,7731,91497,6736,7921,460,240,16666,7410,10976.0,6544.0,7966.0,7519.0,261.0,7583.0,6054.0,62444.0,31272.0,7888.0,10560.0,3314.0,2758.0,6982.0,62433.0,4133.0,10890.0,8051.0,7165.0,1068.0,,,,,,,,,,,,,
Bushdid,375,22386,12367,7731,91497,6736,7921,460,240,16666,7410,10976.0,6544.0,7966.0,7519.0,261.0,7583.0,6054.0,62444.0,31272.0,7888.0,10560.0,3314.0,2758.0,6982.0,62433.0,4133.0,10890.0,8051.0,7165.0,12741.0,,,,,,,,,,,,,
Bushdid,151,19310,7710,31265,999,8918,440967,12348,179,7519,177,7888.0,22873.0,326.0,6501.0,6982.0,443162.0,8797.0,12367.0,7165.0,8892.0,7966.0,7731.0,7583.0,5283349.0,7714.0,798.0,7685.0,2758.0,5281515.0,7848.0,,,,,,,,,,,,,
Bushdid,281,19310,7710,31265,999,8918,440967,12348,179,7519,177,7888.0,22873.0,326.0,6501.0,6982.0,443162.0,8797.0,12367.0,7165.0,8892.0,7966.0,7731.0,7583.0,5283349.0,7714.0,798.0,7685.0,2758.0,5281515.0,180.0,,,,,,,,,,,,,
